sample,ShearStrength,Compressivestrengthofconcrete,ShearStressrange,Size,BeamTest,DirectShearTest,PushOutTest,AdhesiveAnchor,BlindBoltShearConnector,ChannelConnectors,ClusterStud,CorrodedStud,DoubleNutBolt,HASEAdhesiveAnchor,HighTensionFrictionGripBolt,LConnectors,Perfobondrib,Perfobondribgroup,Perforatedshearconnector,PostInstalledWeldedStud,PuzzleStrip,Stud,TheCoiledSpringPin,WedgeBoltConcreteScrew,Ytypeperfobondrib,cycle
1,-1.941998236,0.5227803,0.95762594,0.598079693,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.378397901
2,-1.941998236,0.56060576,-0.621877518,0.598079693,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.963787827
3,-1.941998236,0.645713048,-1.501735149,0.598079693,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.263399331
4,-1.941998236,0.579518491,-1.23671779,0.598079693,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.903089987
5,-1.941998236,0.579518491,-1.766752508,0.598079693,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.857332496
6,-1.941998236,0.579518491,-2.206681323,0.598079693,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.848189117
7,-1.941998236,0.579518491,-2.641309792,0.598079693,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.728353782
8,-1.941998236,0.579518491,0.19914626,0.598079693,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.505149978
9,-2.884913918,-1.020498506,0.19914626,0.598079693,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.27946663
10,-2.884913918,-1.020498506,0.19914626,0.598079693,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.393715559
11,-2.884913918,-1.020498506,-2.382414939,0.598079693,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.129786535
12,-2.884913918,-1.020498506,-1.468799518,0.598079693,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.395518594
13,-1.356740227,-0.791654467,-1.65014487,2.437292018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.32918831
14,-1.356740227,-0.791654467,1.000028718,2.437292018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.651539675
15,-1.356740227,-0.791654467,2.060098153,2.437292018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.77815125
16,-1.356740227,0.153982056,-0.060040717,2.437292018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.587945443
17,-1.356740227,0.153982056,1.000028718,2.437292018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.785778137
18,-1.356740227,0.153982056,0.19914626,2.437292018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.725911632
19,-1.356740227,-0.791654467,-0.144846272,0.598079693,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.154244375
20,-1.356740227,-0.791654467,1.000028718,0.598079693,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.351950833
21,-1.356740227,-0.791654467,2.060098153,0.598079693,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.138807765
22,-1.356740227,-0.791654467,-0.060040717,0.598079693,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.877854906
23,-1.356740227,-0.791654467,1.000028718,0.598079693,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.01853407
24,-1.356740227,-0.791654467,1.323349896,0.598079693,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.286299251
25,0.64906903,0.14452569,0.19914626,-1.241132632,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.828015064
26,0.64906903,0.14452569,0.19914626,-1.241132632,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.764176132
27,0.64906903,0.14452569,0.19914626,0.598079693,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.826787239
28,0.64906903,0.14452569,-2.564984793,-1.241132632,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.471291711
29,0.64906903,0.14452569,-2.564984793,0.598079693,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.346939463
30,0.64906903,0.14452569,-1.834066917,-1.241132632,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.484299839
31,0.64906903,0.14452569,-1.834066917,-1.241132632,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.128722284
32,0.64906903,0.14452569,-1.834066917,0.598079693,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.591064607
33,0.64906903,0.14452569,-1.834066917,0.598079693,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.860936621
34,0.64906903,0.14452569,-1.103149041,0.598079693,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.465382851
35,0.64906903,0.14452569,-1.103149041,-1.241132632,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.639207495
36,0.64906903,0.14452569,-0.372761201,0.598079693,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
37,0.64906903,0.14452569,1.82158253,0.598079693,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.154363101
38,0.64906903,0.14452569,-0.372761201,-1.241132632,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.531861949
39,0.64906903,0.239089343,2.060098153,0.598079693,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.415807728
40,0.64906903,1.57243684,2.060098153,0.598079693,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.778693779
41,0.64906903,1.57243684,2.060098153,0.598079693,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.669735164
42,0.64906903,0.059418403,2.060098153,-1.241132632,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.260429176
43,0.64906903,0.059418403,2.060098153,-1.241132632,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.047469575
44,0.64906903,0.059418403,2.060098153,-1.241132632,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.224662529
45,0.64614274,-0.602527163,0.19914626,-1.241132632,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.176091259
46,0.64614274,-0.602527163,0.19914626,-1.241132632,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.301029996
47,0.64614274,-0.602527163,0.19914626,-1.241132632,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.567219343
48,0.64906903,0.14452569,-0.590075435,-1.241132632,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.656385719
49,0.64906903,0.14452569,0.469994,-1.241132632,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.214313897
50,0.64906903,0.14452569,0.19914626,-1.241132632,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.25163822
51,0.64906903,0.14452569,-2.180179588,-1.241132632,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.870988814
52,0.64906903,0.14452569,-2.180179588,-1.241132632,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.086003706
53,0.64906903,0.14452569,0.19914626,-1.241132632,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.922725458
54,0.64906903,1.099618579,0.19914626,-0.628061857,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9
55,0.64906903,1.099618579,0.19914626,-0.628061857,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.781755375
56,0.64906903,1.099618579,0.19914626,-0.628061857,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.088950734
57,0.64906903,1.099618579,0.19914626,0.598079693,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9
58,0.64906903,1.099618579,0.19914626,0.598079693,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.329499576
